"","Barrier","Solution","For high-intensity activities (e.g. running)","If activity was planned alone","If activity was planned outside","If activity was planned with other people","For low-intensity activities (e.g. walking)","If material is required","Other Context","Other Activity","Implementation","Other Profile","No Condition"
"1","AccessFacilities","Change what I am going to do",1,4,2,3,0,0,0,0,0,0,0
"2","AccessFacilities","Confirm that the gym / court / ... will be available",1,4,2,2,2,1,0,0,0,0,0
"3","AccessFacilities","Confirm with the other(s) that they will join",2,0,2,6,2,0,1,0,0,0,0
"4","AccessFacilities","Do it at a different time today",1,4,0,4,2,0,0,0,0,0,0
"5","AccessFacilities","Do it indoors instead",1,2,4,2,2,1,0,0,0,0,0
"6","AccessFacilities","Do it somewhere else",0,2,1,4,0,1,1,0,0,0,0
"7","AccessFacilities","Find someone to help me with those practical barriers",1,3,1,5,1,1,0,0,0,0,0
"8","AccessFacilities","Remind myself of the positive effects doing this will have on my physical health",0,3,0,1,1,0,0,0,0,0,0
"9","AccessFacilities","Shorten the duration of the activity",1,2,1,2,2,0,0,0,0,0,0
"10","AccessFacilities","Take a different path",1,3,4,3,1,2,0,0,0,0,0
"11","AccessMaterial#","Call someone while doing the activity",0,2,1,0,0,22,0,0,0,0,0
"12","AccessMaterial#","Change what I am going to do",2,2,2,2,1,21,0,0,0,0,0
"13","AccessMaterial#","Do it indoors instead",0,2,3,0,0,22,0,0,0,0,0
"14","AccessMaterial#","Find someone to help me with those practical barriers",1,0,2,2,0,20,1,0,0,0,0
"15","AccessMaterial#","Find someone to provide you with instructions for the behaviour online, for example in a video or text",1,1,0,1,0,22,0,1,0,0,0
"16","AccessMaterial#","Find someone to provide you with the needed information, either online or offline",1,2,1,0,0,22,0,0,0,0,0
"17","AccessMaterial#","Make sure to get enough sleep before the activity",1,2,2,2,2,21,0,0,0,0,0
"18","AccessMaterial#","Set my material or equipment ready to use",3,2,3,2,3,21,0,0,0,0,0
"19","AccessMaterial#","Set suitable clothing ready to use",2,1,3,1,2,21,0,0,0,0,0
"20","AccessMaterial#","Think about how I will feel tonight if I haven't managed to do this",0,1,1,0,0,21,0,0,1,0,0
"21","AccessSpace#","Ask other people if they want to join",0,2,0,4,0,0,0,0,0,0,0
"22","AccessSpace#","Change what I am going to do",3,4,3,5,1,0,1,0,0,0,0
"23","AccessSpace#","Do it at a different time today",1,5,5,3,2,0,1,0,0,0,0
"24","AccessSpace#","Do it indoors instead",0,2,12,1,1,0,3,0,0,0,0
"25","AccessSpace#","Do it somewhere else",3,3,4,4,3,0,0,0,0,0,0
"26","AccessSpace#","Find someone to help me with those practical barriers",2,4,0,4,2,1,0,0,0,0,0
"27","AccessSpace#","Shorten the duration of the activity",2,2,0,1,3,0,2,0,0,0,0
"28","AccessSpace#","Take a different path",1,4,4,3,2,0,0,0,0,0,0
"29","AccessSpace#","Take breaks whenever needed",1,1,0,1,1,0,0,0,0,0,0
"30","AccessSpace#","Tell myself that you can do this, and think about why",1,2,1,1,1,0,0,0,0,0,0
"31","AccessTransportation#","Change the intensity of the activity",2,1,0,0,2,0,0,0,0,0,0
"32","AccessTransportation#","Change what I am going to do",2,7,4,2,2,3,0,0,0,0,0
"33","AccessTransportation#","Do it at a different time today",2,3,4,3,1,1,0,0,0,0,0
"34","AccessTransportation#","Do it indoors instead",0,2,5,1,2,1,1,0,0,0,0
"35","AccessTransportation#","Do it somewhere else",0,3,5,2,1,0,0,0,0,0,0
"36","AccessTransportation#","Find someone to help me with those practical barriers",1,3,2,10,1,3,0,0,0,0,0
"37","AccessTransportation#","Plan how to get there",0,5,4,6,0,1,0,0,0,0,0
"38","AccessTransportation#","Plan when I have to leave to have enough time",1,4,4,3,0,0,0,0,0,0,0
"39","AccessTransportation#","Start my day early enough to have time for the activity",2,3,3,3,2,0,1,0,0,0,0
"40","AccessTransportation#","Take a different path",0,4,4,2,1,0,1,0,0,0,0
"41","Age",NA,0,0,0,0,0,0,0,0,0,0,0
"42","Back pain ","Adjust the intensity of the activity according to your needs",7,1,1,2,4,1,0,0,0,1,0
"43","Back pain ","Call someone while doing the activity",1,4,1,1,2,0,0,0,0,0,0
"44","Back pain ","Change the intensity of the activity",5,2,2,1,2,0,0,0,0,0,0
"45","Back pain ","Change what I am going to do",5,2,2,3,3,2,0,0,0,0,1
"46","Back pain ","Combine being active with something else I want to do",2,6,3,4,5,3,0,0,0,0,0
"47","Back pain ","Consume caffeine (e.g. coffee, energy drinks, caffeine pills) to help with this",0,0,0,1,0,0,0,0,1,0,0
"48","Back pain ","Deal with my symptoms without medication, e.g. by massaging affected areas or using heat/cold",1,0,1,1,0,0,0,0,0,3,0
"49","Back pain ","Divide the activity into shorter parts",8,7,2,4,3,2,0,2,0,0,0
"50","Back pain ","Find social support in a pet",1,0,1,0,1,0,0,0,0,0,0
"51","Back pain ","Find someone to demonstrate the behaviour for you online, for example in a video",0,2,0,0,3,3,0,1,0,0,0
