"","label_solution","Rel_always_avg","Rel_always_sd","Rel_never_avg","Rel_never_sd","count_relevant_solutions","count_irrelevant_solutions","count_solutions","count_always_75","count_always_50","count_always_25"
"1","adapt intensity BCT",0.54,0.2,0.16,0.2,22,4,26,0.12,0.69,0.92
"2","adapt starting time BCT",0.42,0.15,0.22,0.15,25,7,32,0.03,0.25,0.84
"3","add company BCT",0.27,0.18,0.36,0.18,18,8,26,0,0.04,0.42
"4","advice to pace activity BCT",0.67,0.15,0.12,0.15,23,3,26,0.38,0.77,0.96
"5","advice to seek demonstration of the behaviour online",0.37,0.2,0.4,0.2,4,9,13,0,0.23,0.69
"6","advice to seek instructions for the behaviour online",0.35,0.23,0.46,0.23,4,10,14,0,0.29,0.5
"7","advice to take breaks BCT",0.69,0.17,0.18,0.17,25,5,30,0.53,0.83,0.93
"8","advise goal integration",0.25,0.22,0.53,0.22,56,5,61,0,0.1,0.46
"9","advise to keep behaviour goal in mind",0.75,0.13,0.17,0.13,33,1,34,0.5,0.91,1
"10","advise to seek emotional support BCT",0.39,0.17,0.4,0.17,34,2,36,0,0.19,0.78
"11","advise to seek emotional support from a pet BCT",0.17,0.15,0.68,0.15,32,1,33,0,0.03,0.3
"12","advise to seek informational support BCT",0.32,0.23,0.45,0.23,3,7,10,0,0.2,0.5
"13","advise to seek instrumental support BCT",0.34,0.14,0.35,0.14,16,10,26,0,0.19,0.65
"14","advise to use motivational content",0.35,0.2,0.5,0.2,26,6,32,0,0.28,0.56
"15","affirm commitment BCT",0.64,0.13,0.23,0.13,33,4,37,0.24,0.78,1
"16","affirm commitment despite barriers BCT",0.59,0.14,0.24,0.14,33,0,33,0.18,0.7,0.97
"17","appropriate nutrition BCT",0.72,0.16,0.21,0.16,5,10,15,0.47,0.93,1
"18","appropriate sleep BCT",0.65,0.16,0.26,0.16,8,10,18,0.28,0.78,1
"19","confirm facility availability BCT",0.45,0.29,0.41,0.29,1,7,8,0.25,0.25,0.75
"20","confirm others' commitment BCT",0.22,0.19,0.32,0.19,1,11,12,0,0,0.33
"21","confirm suitable weather BCT",0.48,0.19,0.22,0.19,8,6,14,0.07,0.5,0.79
"22","conserve mental resources BCT",0.5,0.17,0.36,0.17,23,4,27,0.07,0.56,0.85
"23","divide activity BCT",0.48,0.14,0.2,0.14,33,3,36,0.03,0.47,0.92
"24","encourage caffeine consumption BCT",0.21,0.23,0.64,0.23,2,10,12,0,0.08,0.33
"25","encourage short term pharmacological support BCT",0.34,0.32,0.5,0.32,11,13,24,0.04,0.33,0.5
